nome,patrimonio,salario
Classe A #1,1056902.58,41721.89
Classe A #2,1528858.90,46335.53
Classe A #3,2144566.44,40234.28
Classe A #4,2783303.39,31497.25
Classe A #5,2965890.04,24638.71
Classe A #6,2569163.31,53805.52
Classe A #7,2801316.76,35961.29
Classe A #8,3183475.17,15950.79
Classe A #9,3214880.75,42814.22
Classe A #10,4121880.82,47268.99
Classe A #11,1873972.90,46383.06
Classe A #12,3037545.33,44327.69
Classe A #13,2214736.47,29331.53
Classe A #14,2678997.47,48449.25
Classe A #15,2933144.80,32776.42
Classe A #16,2919409.35,45761.02
Classe A #17,2034459.47,48851.80
Classe A #18,1627238.81,32847.11
Classe A #19,2113004.95,34841.56
Classe A #20,2936071.02,60815.10
Classe A #21,3247498.37,33739.11
Classe A #22,1976617.74,42411.79
Classe A #23,1795187.04,24728.27
Classe A #24,2385233.24,47553.06
Classe A #25,2726431.32,18062.09
Classe A #26,2632538.53,49899.92
Classe A #27,2376389.13,43688.39
Classe A #28,1932716.87,33303.76
Classe A #29,2647064.31,34445.20
Classe A #30,0.00,30652.48
Classe B1 #1,697694.89,8877.82
Classe B1 #2,514310.57,19798.51
Classe B1 #3,976530.39,2581.87
Classe B1 #4,525101.53,15626.21
Classe B1 #5,534709.69,14383.35
Classe B1 #6,572367.49,11455.43
Classe B1 #7,469185.38,17820.57
Classe B1 #8,288258.73,10607.03
Classe B1 #9,415068.92,12716.43
Classe B1 #10,539439.23,14363.51
Classe B1 #11,496427.23,19164.02
Classe B1 #12,423674.67,16105.60
Classe B1 #13,452330.74,13625.26
Classe B1 #14,586439.57,16485.82
Classe B1 #15,357859.12,23382.60
Classe B1 #16,562977.37,15301.60
Classe B1 #17,442070.09,21134.96
Classe B1 #18,739737.45,6388.14
Classe B1 #19,392880.36,10390.47
Classe B1 #20,411697.64,12183.25
Classe B1 #21,724701.21,10771.31
Classe B1 #22,408154.77,14689.06
Classe B1 #23,745016.09,15150.20
Classe B1 #24,389525.47,9170.83
Classe B1 #25,908139.93,11273.38
Classe B1 #26,533309.45,23648.14
Classe B1 #27,581846.38,13761.43
Classe B1 #28,254147.78,14672.40
Classe B1 #29,501957.65,19379.83
Classe B1 #30,281832.08,8676.11
Classe B1 #31,541260.95,8268.13
Classe B1 #32,238237.34,14384.88
Classe B1 #33,365477.40,18326.41
Classe B1 #34,425706.25,15013.58
Classe B1 #35,505521.06,14698.25
Classe B1 #36,421714.53,25244.83
Classe B1 #37,347865.19,10205.55
Classe B1 #38,548582.15,21087.79
Classe B1 #39,394609.14,21239.71
Classe B1 #40,621361.79,13205.56
Classe B1 #41,580160.43,22166.07
Classe B1 #42,686515.73,19008.35
Classe B1 #43,714827.32,24213.49
Classe B1 #44,559390.16,5889.89
Classe B1 #45,559330.10,12676.36
Classe B1 #46,326146.70,10430.77
Classe B1 #47,607956.17,20354.70
Classe B1 #48,904125.97,17223.90
Classe B1 #49,399529.30,17818.02
Classe B1 #50,236336.41,18624.96
Classe B1 #51,751383.63,12976.95
Classe B1 #52,449042.47,10310.98
Classe B1 #53,565243.67,20030.54
Classe B1 #54,561336.42,19472.47
Classe B1 #55,685389.52,11846.88
Classe B1 #56,349183.96,9860.07
Classe B1 #57,425378.92,20456.24
Classe B1 #58,567752.33,19177.76
Classe B1 #59,506201.82,12569.45
Classe B1 #60,435757.80,8001.14
Classe B1 #61,621371.40,15342.81
Classe B1 #62,579688.71,16290.22
Classe B1 #63,327249.99,11337.34
Classe B1 #64,306080.54,6033.59
Classe B1 #65,651914.16,15715.85
Classe B1 #66,601625.31,13493.46
Classe B1 #67,741146.25,5111.61
Classe B1 #68,487165.07,12725.49
Classe B1 #69,353478.75,22149.20
Classe B1 #70,703955.34,14464.49
Classe B2 #1,131953.40,5923.10
Classe B2 #2,118689.95,10566.68
Classe B2 #3,63756.16,8383.55
Classe B2 #4,183396.48,11407.45
Classe B2 #5,116360.89,7170.17
Classe B2 #6,56669.21,10734.14
Classe B2 #7,148048.39,5846.87
Classe B2 #8,167358.39,7789.58
Classe B2 #9,103524.27,8913.67
Classe B2 #10,144713.07,6921.62
Classe B2 #11,133135.58,11358.25
Classe B2 #12,153740.33,7324.50
Classe B2 #13,201266.93,8017.00
Classe B2 #14,193593.10,4555.90
Classe B2 #15,122680.03,6772.68
Classe B2 #16,114596.79,8837.78
Classe B2 #17,134338.14,6424.50
Classe B2 #18,207060.37,6085.91
Classe B2 #19,129908.44,9664.09
Classe B2 #20,199166.67,5424.45
Classe B2 #21,183534.04,1550.00
Classe B2 #22,166596.82,6934.14
Classe B2 #23,215821.48,7080.25
Classe B2 #24,137405.06,3652.84
Classe B2 #25,90022.37,6678.49
Classe B2 #26,161022.54,7717.83
Classe B2 #27,116676.96,6439.96
Classe B2 #28,129410.50,12430.77
Classe B2 #29,175713.68,8539.86
Classe B2 #30,137372.61,5933.39
Classe B2 #31,226661.81,5875.14
Classe B2 #32,196544.54,5369.91
Classe B2 #33,177894.79,10476.51
Classe B2 #34,200876.60,9872.58
Classe B2 #35,172232.33,5038.40
Classe B2 #36,169008.05,10393.17
Classe B2 #37,194558.24,4517.53
Classe B2 #38,111704.59,5831.21
Classe B2 #39,91890.12,5917.30
Classe B2 #40,114816.42,10491.67
Classe B2 #41,233551.25,9006.46
Classe B2 #42,166925.88,8283.97
Classe B2 #43,171703.27,10500.49
Classe B2 #44,123843.56,6200.62
Classe B2 #45,49736.90,5780.04
Classe B2 #46,140604.79,5021.56
Classe B2 #47,225504.31,7244.48
Classe B2 #48,136187.11,8283.32
Classe B2 #49,238424.57,9670.18
Classe B2 #50,107689.47,7351.90
Classe B2 #51,171564.95,5173.35
Classe B2 #52,166037.94,6759.27
Classe B2 #53,173624.79,8527.02
Classe B2 #54,75819.51,7107.15
Classe B2 #55,168203.11,8301.86
Classe B2 #56,174795.92,4778.37
